rating,title,content
5,I kinda love this phone.,"I spent way too much time comparing phones, Samsung S22, iPhone 13 etc. Even compared to other Oneplus models. The One plus 9pro had the best specs or close to best on all the things I care about. The gaming mode kicks in seamlessly, haven't really challenged the camera yet but pleased so far. Streaming on Hulu etc is good and the sound quality and volume is excellent. Rather watch on here than my gaming laptop or smart TV."
5,Check your version of you bought here!,They are selling Chinese versions as US versions! Check your RAM you should have 12gb that is US version. If you only have 8gb you have a Chinese version which will work with most carriers in US so it can fool a person. The US version should work with all carriers so if your having issue with it working and can't figure out you prob have Chinese. ..ALSO if you use the Alexa app or smart devices connected to Alexa DO NOT BUY THIS PHONE either version. One plus did an update that now Alexa app will not open just freezes and crashes. Been this way for 2 months now. Amazon rep tried to figure it out with me for about an hour. I've tried numerous different things including factory dam reset and nothing. It's an update one plus did it's a problem talked about on there forums by phone owners and one plus will not acknowledge it.
1,Absolute junk for the price,"**This review has been deleted by amazon or oneplus 5 times.**<br><br>This is a complete bait and switch. The device is sold with Oxygen OS (android 11), but a recent update delivered as a ""standard security update"" completely wipes the device, changing the OS to ColorOS (which is inferior and lacks features that Oxygen has).  The user is given zero warning  about this update, and it is sold as simply moving the android security update to the 03/2022 release.  It is infact a complete OS change.<br><br>Features you lose:<br>1.  Ability to remove some oneplus' bloatware<br>2.  Ability to rename applications/disable<br>3.  Paid apps fail to launch in the new Android 12 ""color os"" (These are up-to-date apps certified to work with Android 12 that fail in OnePlus's junk ColorOS, which is the cannibalized OS used in their Chinese products (brought in when they were purchased/merged with Oppo)<br>4.  The OS lacks substantial features present in in the version this product is sold with. Headphones, camera, and bluetooth audio all failed with legitimate (and previously working) apps.<br>5.  The OTA (over the air) update that changed Oxygen to ColorOS also deleted several personal files (desktop wallpaper, and files in the root of the phone outside standard directories).<br>6.  Battery life is worse after the update as well.  It was already pretty terrible (see other reviews here).  This device drinks power and will require multiple recharges a day if you use the high resolution display / high refresh rate.<br><br>This is relevant to Amazon purchasers, because you will be sold a device that appears/functions one way, and then magically overnight, an update will cripple the device.  You can revert the update, but it is not trivial (a factory reset will not save you)<br><br>Amazon will likely delete this review again, even though I am a verified purchaser.  The critique of this phone is fair and honest. If OnePlus cared about its customers, it would address the egregious trust violations in their system update (and acknowledge the horrible battery life of the device).  Instead, Amazon and OnePlus will likely simply continue to delete my review."
3,Not a dual SIM,"The phone works fine, however I left in the box several months before using and at that time realized when I needed it is only takes 1 SIM and I needed the phone for travel and 2 SIM cards, so unfortunately the phone does not work for the purpose it was purchased for dual SIM card.  On the Amazon site clearly states dual SIM.  Phone works fine, just does not allow 2 SIM cards.<br><br>most people probably fine but for travel i needed dual SIM."
5,Easy excellent android,"Replaced a Google pixel 6 (tons of connectivity problems) with this OnePlus 9 pro, and hallelujah this android actually works! Speed, good layout, pretty good camera, reliablility, all make it a winner. For some reason I don't understand the battery drains quickly. But the lightening charger that is included recharges incredibly quickly too. So far everything works perfectly."
3,No option for 'cellular preferred' calling,Wi-Fi has to be turned off to make calls and then turned back on to use the internet. All day...
3,good phone and great charger,The phone has worked just as expected. works super fast. charges fast when plugged into the box charger. the only issue is the charging box went out after only 2 months and already needs replaced which is disappointing but at least it wasn't the phone.
4,Android 12 has bugs,"Super fast connections, long battery life, awesome camera &amp; the fastest charge I've ever seen."
5,Perfect condition,Perfect condition without the pretty Oneplus box.<br>Upgraded from a Oneplus 8 Pro.<br>Works perfectly.
5,I got the US version,"I was concerned about the reviews saying they were sent the Chinese version with ColorOS and only 8GB of RAM.  But I really needed a new phone ASAP after destroying my OnePlus 7 pro.<br><br>I'm happy to say that I got my 9 pro less than 24 hours after ordering it and it's definitely the US version.  It's a nice phone, super-fast and very familiar after the 7 pro.<br><br>I had no problem unlocking the bootloader and rooting it.  Everything works great."
5,Extremely happy with my purchase,The quality of the product is on point. I think they should charge more to be honest.
5,great phone,"great phone, the 65 watt charger is awesome and fast"
5,"9 pro, great phone","Bought for my wife, she loves the phone.  Not sure about the difference in the chip vs the gen 1, but the 9 pro received great reviews and the price better than the 10 pro.  Now the 10 comes with the 256/12gb, took too long.  I think the 9 pro is all gone now, but glad I got it for my wife."
4,Still some issues on AT&amp;T. Great camera.,"After a couple of days I'm happy with the phone.  It was not on AT&amp;T's list of compatible devices, so I had to make a long phone call so they could do a workaround for this unlocked device to get it working on their network.<br>So plan on making a phone call if you are on AT&amp;T.<br>I did have it give me an overheating warning for a few minutes when I had a few apps open. That quickly cleared up though.<br>I went hiking the other night and loved the photos it produced. The zoom lens is cool."
3,"Good smart phone, can be much better.","Good smart phone, can be much better but it is too quirky compared to others like Samsung or even Huawei before the US ban.  As an example, the location of the volume and power buttons is such that I constantly take unexpected screen shots.  Solid fingerprint, face recognition is fine, camera is good but not as good as others specially with the Hasselblad partnership. For the price is a solid SP that can be much better."
4,Works as advertised,"Charges extremely fast only problem was when I put protective shield on the screen the screen became less responsive, but that may have been because of the hard cover"
3,Single Sim and not Dual Sim,"Hello,<br>The description shows it as Dual Sim device.<br>I received a single sim. very disappointed.<br>Realized a month or so after delivery<br>If you need dual Sim get the Uk/International version also vendor should change the product details as this caused an expensive purchase and inconvenience"
5,Espectacular,Chavaaaal flipo
4,Buggy but I like it,"So, the phone is a good phone in most cases. However my phone has alot of issues. When watching YouTube the video shudders. Also when using Android auto, my phone wont connect 75% of the time. I know it's not the head unit Because it worked with all my other phones. The device also gets hot when charging. Other than that this phone is pretty good."
5,"Great smartphone, I'm just in love with it!","Great product. I've always been Samsung fan, but this is so much better than Samsung! Everything's perfect. The battery goes down a little fast, but I don't really care about it, because it charges very fast, literally few minutes. Loved it!"
5,Battery works great now.,"My first review has changed because after an update that the phone received, the battery actually last way longer now.  I was also about to return this phone but kept it and I am happy with how it works.  One thing that does get old is that the sensor detects if you have you hand over the screen, which I have to switch hands sometimes and it covers my viewing area.  The other is that the camera does launch on its own every now and then.  So far, I'm very happy after the update."
4,Es un buen teléfono,Me encanta el teléfono el único problema es que su batería se termina muy pronto pero es tan funcionable y practico
3,Performance is not as expected,"Similar to other reviews posted here, I find the phone to be slower than expected. From camera launches, to opening your gallery or closing and opening apps. It's just not smooth.<br><br>Best feature about this phone is the warp charge which takes you from near dead to 50% in 15 mins. Think OnePlus has strayed too far from their mission of making supposed flagship killers but not at flagship price. This is clearly flagship price but does not deliver that competition to an iPhone"
3,Sad,"Had OnePlus 5, works fantastic. I love the 9, but, there are too many problems. Fingerprint reader barely works, camera sometimes works sometimes crashes. Hole punch camera proven unnecessary with OnePlus 7 pro, glitchy sometimes it freezes when I'm doing simple tasks like browsing the web. I'm just sad, I really wanted to love this phone, but, biggest issue is camera stops working as soon as the phone updates. I guess if I'm going to hate my phone I might as well switch to an iPhone, at least it works."
5,ideal for special ed son,"Phone met the special requirements of my special ed son. Long battery life, wireless operation and charging, and large memory. Can be used/played with most of the day and still have power needed for emergencies, and can be charged in an hour in case you forgot.<br>I purchased a Oneplus 8T for myself a year ago and have been very satisfied with it."
5,Huge memory. And it is way cheaper than competition,I love the fact that with this phone I get all the great features that all the drastically more expensive phones have.
1,False Advertisement,"The whole point of getting this phone specifically was to put lineageOS or iodeOS on it. This requires an unlocked phone - including the bootloader. The T-Mobile version of this phone (LE2127) is not compatible and does NOT have an unlockable bootloader. Despite amazon clearly listing LE2125 (a fully compatible model) here, what I received is marked as a LE2127."
5,Oneplus always a good purchase,"I've had multiple OnePlus phones and they are my favorite. Lots of ram, processing power. Android is made for more advanced users, if you aren't, stick with iCrap."
3,I’m not the smartest but software gore,"My apps disappeared when I put them on Home Screen so I have to go to drawer to open them and YouTube sometimes unpauses on its own. Runs most apps, games and ROMs at a high quality other than that the phone ran pretty well"
1,"Que el articulo sea, exactamente como dice la descripcion del mismo.","En la descripcion del articulo dice, "" DESBLOQUEADO "", y cuando empiezo a configurarlo, no me registra la red, y me sale bloqueado por la compañia T-mobile. No es agradable jugar con las personas, devieron haber notificado que el celular estaba reportado oh bloqueado."
3,meh battery life,"other than battery life, it is pretty good. however i eventually return it, the battery can barely last one day of light use, even if i turn on battery saving mode and reduce screen resolution and refresh rate"
1,The absolute worst phone I've ever owned,"I will never, ever even consider buying another one of these garbage can phones ever again. In 6 months it has proven to be the worst phone I've owned in almost 20 years of owning cell phones. And realistically, the hardware is fine, it's the garbage can operating system that truly raises the bar on awfulness. The very first system update from about 5 or 6 months ago rendered the phone unable to connect to any network so I had to factory reset the phone and restore everything from backup, so it was a complete waste of time. After that I've been avoiding any repeat of a system update because I shudder to imagine whatever deleterious effect it will have now. And then today it decided to spontaneously restart and I lost network connections yet again, although the system has not been updated. I can't recommend staying away from this useless garbage enough. I've already told my friends and family to stay away from and avoid One+ like the plague. Now excuse me while I go get a new phone."
1,NOT the US model. Not 12G of Ram. Not a 5G phone!,To start the phone is an 8 GB of RAM not the advertised 12 GB of RAM. The phone was dropping calls like crazy and the phone was not receiving a lot of calls. I took the phone to T-Mobile and I was told that it wasn't a 5G phone. 5G wasn't even an option on the settings of the phone. I did a Google search on the model number and found that that model number is a global model number. Is not the USA version of this phone. False advertising! I had the One Plus 7 Pro and I bought it directly from the OnePlus website. No issues with that one. I cannot recommend anybody in the USA to buy this thing from Amazon.
4,One+9 Pro Does as Advertised but Short on Battery,Great phone but the battery limits streaming
2,"Withholding recommadation to my friends, or anyone.","Hugh negative surprise yesterday (03/24/2022). After a push-down system update, my phone can not make or receive calls. My OP 9 Pro can not connect to my cellular service provider's network after update. For all the functions that should be working, the very basic one for a telephone, receiving and making calls, is not. Seems there is no customer/tech service at all. Left a message on OnePlus's Facebook message board, like a stone sank in a river. Called a number displayed on the company's website, same thing. What a disappointment."
1,But a Samsung S22 instead!!,I bought two of these for my Wife and myself. My Wife's phone will not down load  and open attachments in txts and email while mine will. Can't seem to resolve this. Both phones were a pain in the ass to get to work on Consumers Cellular ATT). I wasted hours with tech support.<br>Wish I had of spent the extra $$ and bought Samsung S22's instead. I also use my phone for work so this has been even more of an inconvenience. Go with Samsung. Avoid all OnePlus product!! Now I have take a huge loss to upgrade to the S22 plus because the OnePlus 9 is no longer worth much used. Hope I can save others the headaches.
3,Everything OK except camera,"I liked this Phone, everything is perfect except camera, i did not like picture and video quality, my old iPhone 11 pro max had much much better camera quality and that's why I returned it."
1,A used phone with damage from drop and T-mobile logo,"Nowhere on the description of the item says it is a used item / renewed. I purchased and expect a new in box phone. Instead it has no original package, damages on the bottom corners, and when you start, a T-Mobile logo pops up - T Mobile is also not mentioned anywhere in the description. This is very disappointing."
2,"Good performance, descent battery, horrible updates",Performance is great and battery descent. Charging is awesome either wirelessly or connected... Full charge in less than 30min.<br><br>Issues are mostly with the new Hydrogen OS12 that's pretty buggy and isn't getting any better after several months.<br><br>Also Android Auto implementation doesn't seem to work on all vehicles.<br>Cameras are much better than my oneplus 8 pro.<br><br>That being said for the price (with discount) it can't really be beat and still better than Samsung imo
3,A little disappointed,"It is a good phone but it is a single chip, and it does not bring you the case, and it gives many problems with the internet, many times the internet stops working for long periods of time"
1,DO NOT BUY USED,"Do not buy used, especially from ""Mercati."" I purchased this phone and it would not read my SIM card. I took it to T-Mobile and bought a new SIM card to try even though my SIM card worked in my OnePlus 8 Pro. The worker and manager both thought the internal antenna was probably non-functional. Sent phone back and had to wait for my refund. Seller kept $100 ""re-stock fee"" that was not mentioned anywhere. Now I have to go through Amazon to try to get my full refund. I would have been happy to keep the phone if it had worked! Now I'm out time and money."
5,Alguien me ayuda,Todo excelente solo k yo ordené la versión de 12gb ram y 256gb almacenamiento y me llegó pero con 8gb de ram y 256 GB no entiendo nada...alguien sabe porqué?
1,no longer a good brand,"This model and all the following ones have problems with Android Auto. Multiples threads on support forums about this issue. OnePluse doesn't care.<br><br>Similar problem with many hi-res USB DACs. No fix, no support."
5,Better than anything else,Best ever
3,Non north American,Verified by one+ tech. These are intended for the Chinese market. Not north America. They will not work on Verizon. Also did not have wireless charging.
2,"Slow, unsupported software.","The company does not care about it's users anymore, my OnePlus 9 pro is very slow, restarts on its own and just full of annoying glitches from time to time, even with full bar 5g service and wifi. They scammed everyone here by selling unfinished products and are already about to release newer phones come January, what a load of crap! Returning and getting a Samsung."
5,Happy,Wish OnePlus would add a cheap plastic case again.
1,Terrible phone that's only gotten worse,"When I first bought the phone, I was initially impressed with how responsive it felt and by how fast it charges. That's about it. The reception isn't the best and it doesn't seem to support wifi calling. This was a 2, maybe 3 star phone at best. With the latest update (updated to Android 12), it decided to reset my notification settings to allow all notifications, YouTube now randomly pauses while watching videos and there no longer appears to be a way to disable the audible notification when you charge your phone. At this point, I'm done with this thing. I'm getting a Samsung Note, like I should have to begin with.<br><br>***Edit***<br>Performed a factory reset in hopes that it would clear up issue. Unfortunately, it has not."
5,"Good phone, the value for money is no longer relevant as it's the same price like Samsung flagship.","The OnePlus 9 Pro is a good phone with a good camera (have to say I expected more on the camera side), fair battery, very strong CPU, and RAM."
5,Amazing buy!!,"This phone is smooth, and easy to use.<br>The warp charging is insanely fast and love the battery life. Fully recommend!"
1,Meh phone wrong listing,"Got this to replace my OP8 and love it however the listing says 12GB of RAM as opposed to the 8GB model I received. It's still a good value but I did get my hopes up a bit on that assumption. Also it came pre-setup with a Chinese account logged in and I had to use my old phone's menus as reference to change it to English so I could use it easier.<br><br>Update (12/04/2021) - The RAM makes all the difference, runs significantly worse and inconsistently than my 12GB OP8 I had. I already gave that as a hand-me-down so I'm stuck with this 8GB OP9Pro. Knocking down to a 1 star until an update fixes RAM usage and the listing is fixed.<br><br>Camera otherwise is great, but the misleading listing is inexcusable."
5,This is a great phone!,Wow! This is a great phone! 5g speed is fast. And the face recognition works with a mask on! Although it is a big phone.
5,Es un producto excelente asta ahora estoy satisfecho lo recomiendo 👍👍,🤝👏
2,Loyal OnePlus Customer-Extremely Disappointed,"Apps lag<br>System lags<br>Constantly having to restart the phone<br>Connection issues I didn't have with 7Pro and I love in a major metro area<br>Sure it charges fast, but the battery drains fast too<br>Camera is just ok, not great<br><br>Will not buy another OnePlus"
3,This model is uni sim not dual sim.,"Unfortunately this phone is a uni sim, not dual sim, 😕"
5,Great phone,Love this ouone
5,One plus 9 pro,Excelente celular me gusto mucho 😄😁
5,"Don't listen to others. Try it for yourself, it's literally free. You won't be disappointed.",Top notch android phone. Price is the only problem. But hey how much does the s21 ultra cost.
2,Worst phone I've bought,"Over heats like crazy, the camera is barely an upgrade from the 8 pro, and the screen is literally the same. Oneplus just isnt what they used to be, if you want to stay android go for pixel or samsung, oneplus just isnt it anymore"
5,Muy bonito y cumple con todo!,Excelente celular recomendado!
1,No es 5 G,"Entré a red móvil y solo tiene 2-3g ni a 4 llega, que decepción."
1,El cable cargador es de mala calidad y el celular vino rayado,"&nbsp;El cable de carga es de pésima calidad, el material es como si se estuviera derritiendo, se dañó uno de los puntos de carga, se peló se abrió totalmente en menos de 12 horas de haberla abierto<br>Pésima calidad y material<br><br>El celular vino rayada la pantalla"
5,Best phone on the market,"I love this phone, worth every penny"
5,Great phone.,Great phone. Face recognition is perfect. Picture quality is superb.
1,Great but DECEPTION,Great but DECEPTION as never advertise it is single sim instead of DUAL...so bad for seller and even worst for OnePlus fabricant. This marks the end of preference for this brand....will return to SAMSUNG.<br>To carry Hasselblad brand on the phone you would also like to have such cameras not just software to tune up any other camera
2,Not Happy.,Camera hardly works always over heating. The thumb reader hardly works reset it 4 times. The bluetooth gives me a hard time. This phone frustrates me big-time. I had the OnePlus 7 pro was a great phone but this one. Meh
1,"Too Hot, Not Recommended",It gets too hot the moment turned on and that is a bad sign that will destroy the whole system. I could not say anything about the features since I can not hold it with my hand
1,Not Worth It!,"Most importantly: COULDN'T ANSWER A CALL<br>Tried EVERY fix mentioned by others with no success in answering a call and I'm proficient with electronics.<br>Battery drain was excessive IMO even after changes to ""improve""<br>Lost features from 6T and 7T - Had been happy with both the 6T and 7T<br>Won't be buying OnePlus again"
1,Issue with Call Merge and Switching to Mobile data from WiFi,"Dislike : Not sure why devices are not tested well. Basic features like Call merge and Move to Mobile data from Mobile data is not happening. This 2 issues I identified and reported to OnePlus and Amazing. However I still did not receive resolution to this issue.<br>Apart from that, this device is getting heated up."
1,Riddled with Spyware - Screen Recorded runs all the time!,"Phone looks good and feels good. But if you want to protect your data, forget about it.  Screen recorder, which starts the camera and QualComm voice runs all the time. Anything you view, type or say into the phone will be captured. SYPWARE for CHINA. Oh yeah...one other thing, this order was a bundle an is to come with wireless charger....good luck ,did not get it an amaZ0n don't want to correct the order...told me to return the phone. Disappointed on both counts."
1,This phone wastes its high specs,"I liked that the phone has high specs, but you wouldn't know it if you used the phone. It's so user unfriendly and poorly optimized that it's actually slower and takes worse photos than my Samsung s7. I'm returning it and using the refund money to buy another Samsung"
1,Screen burn in!,"The screen burn in, is so bad! I'd avoid oneplus from now on."
2,Seal was broken &amp; the clear protective case is missing,Seal was broken &amp; clear protective case is missing.
